mean_ci_0,mean_ci_1,mean_ci_2,mean_ci_3,mean_ci_4,mean_ci_5,mean_ci_6,mean_ci_7,mean_ci_8,mean_ci_9,mean_ci_10,mean_ci_11,mean_ci_12,mean_ci_13,mean_ci_14,mean_ci_15,mean_ci_16,mean_ci_17,mean_ci_18,mean_ci_19,mean_ci_20,mean_ci_21,mean_ci_22,mean_ci_23,mean_ci_24,mean_ci_25,mean_ci_26,mean_ci_27,mean_ci_28,mean_ci_29,mean_ci_30,mean_ci_31
0.01219275580453,0.037263715207311,-0.338685774377414,0.056477852697883,-0.218472626209924,0.340434517012909,0.21059789854501,-0.022840213828853,-0.213842413255147,0.563701957464218,-0.726915903389454,0.151451466472021,-0.030164911810841,-0.17498963113342,0.012770561168769,-0.279043919539877,-0.011483065917024,-0.131771863837327,-0.49175596988893,-0.036110472732357,-0.224146189928953,-0.137535249814391,-0.084165677162153,-0.201962274632284,0.167128822101014,-0.127052190314446,-0.708355958972658,-0.050360938001956,-0.009047415905765,0.070624007311251,0.321897451965404,0.45563670966242
0.159723323495949,0.092948937466752,-0.085337132328491,0.258817000129698,-0.050971571907319,0.142580087847925,0.213855588452562,0.086655026568812,-0.087283258025041,0.373120882164906,-0.479299176265212,-0.12067573097353,-0.470037117573049,-0.033522737513789,0.290201424045817,0.021403753938263,0.061070441946333,-0.12931849568507,-0.703489232150947,-0.19641930252478,-0.228304994539084,-0.11329249752795,-0.144479210707633,-0.198027285254177,0.087358920725391,-0.01000738056267,-0.573293791974292,0.038648386003094,-0.02785717324792,0.032966759952936,-0.05344362373409,0.358161836095593
0.148732954301895,0.095438808246026,-0.081599342684524,0.34024801893303,-0.131607437748104,0.206507260176855,0.223877709621611,0.176059149205685,-0.024336507770782,0.409738303186038,-0.471002257405183,-0.065412029720252,-0.444615447750458,0.049624489360632,0.3564130604888,0.078623098912291,-0.009053977898871,-0.10054829181769,-0.745319043596586,-0.2457061822359,-0.210986358806109,-0.188745104588377,-0.123692942496676,-0.175982363228776,0.206765557854221,0.043444080708119,-0.516810194326517,0.104260006465782,-0.161562849254085,-0.07589904525174,-0.026434787352068,0.513277930613512
0.038452493004678,0.098821633983226,0.006664016860582,0.230459453981547,0.050096943170675,0.162622850454812,0.142923051713123,-0.029682727707994,-0.200988119290698,0.296519035562163,-0.567294309536616,-0.215820897991459,-0.389386060692015,-0.060868768997136,0.153490459546447,0.090317632648207,0.145010468683072,-0.129359008212175,-0.716055361997513,-0.050618883627023,-0.227176926675297,-0.216503265180758,-0.148828678099172,-0.334663089187372,0.03552923156392,1.9159788886706E-05,-0.598046324082783,-0.068026111771663,0.137614937964827,0.038730871941274,-0.168974484095261,0.330747799149581
0.108582673897035,0.111752460361458,-0.124434797372669,0.155412420304492,-0.023680996632902,0.385383673012257,0.092507402319461,0.038863584958017,-0.058813832793385,0.219878137344494,-0.469454047922045,-0.109824587032199,-0.482508331537247,-0.025142075680196,0.135287825064734,-0.000861796271056,0.152339951368049,-0.255629574763589,-0.51371634081006,0.094929859600961,-0.104413692394155,-0.15897087790072,0.065517299901694,-0.171110616438091,0.039411719609052,-0.056374990404584,-0.617715273052454,-0.069221877725795,0.132724254229106,0.098946429323405,-0.152002425538376,0.130357033014297
0.194776366323432,0.023109088179938,-0.004845759432231,0.049489894881845,0.028213383629918,0.29314611719123,0.231754719944937,0.033518724143505,-0.190867501710142,0.291269491559693,-0.689218879810401,-0.02138857925976,-0.131890494376421,0.047432192468218,0.168636777039085,-0.029948710867237,-0.065134246409538,-0.119448794983327,-0.509096535188811,-0.11546301582296,-0.201160483278467,-0.256100302562118,-0.186707059719733,-0.253339655165161,0.311132503939526,-0.016225450938302,-0.532997785335673,-0.097860992886126,-0.151426237043259,-0.042602554911615,-0.060514944006822,0.468974865972996
0.135696705124091,0.148530295607066,-0.050247192428243,0.059619367412269,0.068373937844072,0.216559582798764,0.210083005722703,0.22722820138059,-0.112946845829578,0.309094728038805,-0.541187907966626,-0.111820906400681,-0.241330487971626,-0.188461317158327,0.175821750038644,-0.074047435483918,0.104859185473221,-0.09682435655921,-0.555813064117257,0.112790382001283,-0.16528209044439,-0.089652561378188,-0.076575015739697,-0.328739282175353,0.004612976798742,0.105257764822099,-0.510317293245618,-0.112093328248437,0.051490015634222,0.045802508639853,-0.075990560123833,0.172914358900815
0.179306818248883,0.134082829214518,-0.223658254867649,0.211478835373658,-0.112836292911359,0.151753513250908,0.265375394494572,0.011993177643378,-0.096878116503868,0.430606880977954,-0.500128024857338,-0.113533712158056,-0.551324363032432,-0.011277352134404,0.233234888363681,0.038530271056217,0.044427993911484,-0.141024869924079,-0.579375735573368,-0.229181540820071,-0.25749015491392,-0.025295054310397,-0.009014319181953,-0.228795786656133,0.071662797165193,-0.059158402074077,-0.594911075005792,0.005922464041473,-0.002966348978066,0.139023364081417,-0.15346865707766,0.327889747662495
0.228411020609002,0.125931834383016,-0.193863510532139,0.163771938845158,-0.125038459877905,0.083078524582598,0.271960770532693,0.022158209263181,-0.075593052074722,0.437738300747659,-0.488050789253353,-0.110971740867994,-0.56998590737173,-0.046021303480925,0.213737501673502,0.042505666818502,0.046939674586262,-0.140621304633223,-0.621355182478485,-0.186573289398563,-0.213276542161834,-0.040610649712282,-0.037263712501281,-0.205578105957949,-0.005174262449145,-0.062671889273501,-0.610417800815138,-0.013285970851167,-0.01490587543071,0.153138297734374,-0.108310011279297,0.364595112556668
0.185923283291049,0.170252508320846,-0.148020081967115,0.222418269328773,-0.106789520388702,0.21705800127238,0.208725708303973,-0.063612985610962,-0.080761304032058,0.508480235189199,-0.510470294952393,-0.215377131290734,-0.61135225892067,0.093623979925178,0.252067402238026,-0.068331392461551,0.068694101599977,-0.222778004035354,-0.500859600864351,-0.195476173242787,-0.231234527472407,-0.104262483678758,0.03388951793313,-0.174237178266048,0.0843382130377,-0.104681698000059,-0.512730276584625,-0.091228478495032,-0.085510976950172,0.177335065149237,-0.104456838872284,0.361755117401481
